,"S=1,G=0,OMC=0,NS=50","S=1,G=0,OMC=0,NS=100","S=1,G=0,OMC=0,NS=150","S=1,G=0,OMC=2,NS=50","S=1,G=0,OMC=2,NS=100","S=1,G=0,OMC=2,NS=150","S=1,G=0,OMC=4,NS=50","S=1,G=0,OMC=4,NS=100","S=1,G=0,OMC=4,NS=150","S=1,G=1,OMC=0,NS=50","S=1,G=1,OMC=0,NS=100","S=1,G=1,OMC=0,NS=150","S=1,G=1,OMC=2,NS=50","S=1,G=1,OMC=2,NS=100","S=1,G=1,OMC=2,NS=150","S=1,G=1,OMC=4,NS=50","S=1,G=1,OMC=4,NS=100","S=1,G=1,OMC=4,NS=150","S=1,G=2,OMC=0,NS=50","S=1,G=2,OMC=0,NS=100","S=1,G=2,OMC=0,NS=150","S=1,G=2,OMC=2,NS=50","S=1,G=2,OMC=2,NS=100","S=1,G=2,OMC=2,NS=150","S=1,G=2,OMC=4,NS=50","S=1,G=2,OMC=4,NS=100","S=1,G=2,OMC=4,NS=150","S=1,G=3,OMC=0,NS=50","S=1,G=3,OMC=0,NS=100","S=1,G=3,OMC=0,NS=150","S=1,G=3,OMC=2,NS=50","S=1,G=3,OMC=2,NS=100","S=1,G=3,OMC=2,NS=150","S=1,G=3,OMC=4,NS=50","S=1,G=3,OMC=4,NS=100","S=1,G=3,OMC=4,NS=150","S=1,G=4,OMC=0,NS=50","S=1,G=4,OMC=0,NS=100","S=1,G=4,OMC=0,NS=150","S=1,G=4,OMC=2,NS=50","S=1,G=4,OMC=2,NS=100","S=1,G=4,OMC=2,NS=150","S=1,G=4,OMC=4,NS=50","S=1,G=4,OMC=4,NS=100","S=1,G=4,OMC=4,NS=150","S=1,G=5,OMC=0,NS=50","S=1,G=5,OMC=0,NS=100","S=1,G=5,OMC=0,NS=150","S=1,G=5,OMC=2,NS=50","S=1,G=5,OMC=2,NS=100","S=1,G=5,OMC=2,NS=150","S=1,G=5,OMC=4,NS=50","S=1,G=5,OMC=4,NS=100","S=1,G=5,OMC=4,NS=150","S=2,G=0,OMC=0,NS=50","S=2,G=0,OMC=0,NS=100","S=2,G=0,OMC=0,NS=150","S=2,G=0,OMC=2,NS=50","S=2,G=0,OMC=2,NS=100","S=2,G=0,OMC=2,NS=150","S=2,G=0,OMC=4,NS=50","S=2,G=0,OMC=4,NS=100","S=2,G=0,OMC=4,NS=150","S=2,G=1,OMC=0,NS=50","S=2,G=1,OMC=0,NS=100","S=2,G=1,OMC=0,NS=150","S=2,G=1,OMC=2,NS=50","S=2,G=1,OMC=2,NS=100","S=2,G=1,OMC=2,NS=150","S=2,G=1,OMC=4,NS=50","S=2,G=1,OMC=4,NS=100","S=2,G=1,OMC=4,NS=150","S=2,G=2,OMC=0,NS=50","S=2,G=2,OMC=0,NS=100","S=2,G=2,OMC=0,NS=150","S=2,G=2,OMC=2,NS=50","S=2,G=2,OMC=2,NS=100","S=2,G=2,OMC=2,NS=150","S=2,G=2,OMC=4,NS=50","S=2,G=2,OMC=4,NS=100","S=2,G=2,OMC=4,NS=150","S=2,G=3,OMC=0,NS=50","S=2,G=3,OMC=0,NS=100","S=2,G=3,OMC=0,NS=150","S=2,G=3,OMC=2,NS=50","S=2,G=3,OMC=2,NS=100","S=2,G=3,OMC=2,NS=150","S=2,G=3,OMC=4,NS=50","S=2,G=3,OMC=4,NS=100","S=2,G=3,OMC=4,NS=150","S=2,G=4,OMC=0,NS=50","S=2,G=4,OMC=0,NS=100","S=2,G=4,OMC=0,NS=150","S=2,G=4,OMC=2,NS=50","S=2,G=4,OMC=2,NS=100","S=2,G=4,OMC=2,NS=150","S=2,G=4,OMC=4,NS=50","S=2,G=4,OMC=4,NS=100","S=2,G=4,OMC=4,NS=150","S=2,G=5,OMC=0,NS=50","S=2,G=5,OMC=0,NS=100","S=2,G=5,OMC=0,NS=150","S=2,G=5,OMC=2,NS=50","S=2,G=5,OMC=2,NS=100","S=2,G=5,OMC=2,NS=150","S=2,G=5,OMC=4,NS=50","S=2,G=5,OMC=4,NS=100","S=2,G=5,OMC=4,NS=150"
10.66666667,57.52119,100.182,140.9884,52.68051,95.22153,130.20395,47.37508,90.37555,118.25305,54.85948,97.65588,128.1612,43.99149,81.46323,106.15612,35.24768,67.06995,89.05477,57.391,98.35589,126.1514,50.6056,87.52859,111.87388,46.28309,78.84253,98.81631,50.18247,99.42874,140.59534,44.53471,87.85666,126.85749,40.34006,76.78524,112.11366,56.93079,102.73231,137.69337,52.19015,92.44462,124.19568,47.44157,83.04389,110.30783,58.80121,104.93153,139.31386,54.31423,95.07958,125.99708,48.68699,78.51022,106.30937,71.74011,80.60415,89.24275,61.3315,67.86472,74.95675,47.81334,52.34991,57.06888,53.8656,64.34205,78.0996,46.39983,53.6098,63.30207,34.86288,40.08683,45.7868,55.15636,74.7247,94.74331,50.68604,68.92584,89.42316,46.28647,63.57384,83.4016,54.1954,87.3838,105.17,49.97318,79.37394,94.43818,44.59989,72.64018,89.05882,53.9335,77.8202,99.34372,49.39969,70.80503,92.96138,44.30933,66.01681,88.56528,58.81116,83.76771,106.98669,54.7534,76.66859,103.09279,51.7459,71.24395,98.12635
11.33333333,57.52119,100.18674,141.00496,52.75735,95.22153,130.21394,47.37508,90.36299,118.6136,54.97848,97.55362,130.7742,44.3585,81.65528,108.20209,35.74124,67.44158,90.65143,57.391,99.15742,128.7514,50.6056,88.22549,114.1269,46.28309,79.4266,100.76961,50.51873,99.71693,141.51122,44.80392,88.16066,127.62641,40.54846,76.84166,112.7036,57.02171,103.27717,139.45131,52.32476,92.94507,125.70666,47.54577,83.36413,111.75178,58.92748,106.33656,140.93021,54.39285,95.35343,127.60436,48.86259,79.28349,107.99989,71.74011,80.60415,89.24275,61.98234,67.86472,74.95675,48.32073,52.42779,57.06888,54.7052,64.9296,78.967,47.12306,54.09934,64.00512,35.40629,40.45289,46.3606,55.87453,74.9843,95.02508,51.32843,69.29944,89.79539,46.8731,63.91523,83.78062,55.0128,87.5726,105.65819,50.63528,79.62131,95.0255,45.2346,73.06266,89.57599,54.60691,78.2644,99.75201,49.94365,71.43247,93.46512,44.74912,66.64921,89.03141,59.56897,83.93934,107.55619,55.4812,77.00626,103.54686,52.31596,71.71129,98.60423
12,57.52119,100.18674,141.00496,52.8345,95.22153,130.21394,47.37508,90.35043,118.97494,55.27022,97.55362,133.3878,44.83299,81.91606,110.24806,36.29811,67.85704,92.24808,57.391,99.96796,131.3026,50.6056,88.92838,116.34747,46.28309,80.01067,102.7018,50.85601,100.00513,142.4156,45.07363,88.46419,128.38452,40.75724,76.89779,113.29549,57.11237,103.82654,141.1791,52.45961,93.44829,127.19599,47.65016,83.68423,113.17629,59.05387,107.74409,142.54802,54.47163,96.12817,129.21326,49.03835,80.05526,109.69149,71.74011,80.60415,89.24275,62.43092,67.86472,74.95675,48.67044,52.50618,57.06888,55.5448,65.5229,79.94,47.84629,54.59368,64.79377,35.94969,40.82253,46.9344,56.81077,75.36745,95.48506,51.97139,69.67293,90.16812,47.46025,64.25882,84.15857,55.8302,87.7614,105.98908,51.29737,79.86867,95.61282,45.86932,73.48515,90.09317,55.28032,78.7086,100.1603,50.48761,72.05972,93.96475,45.1889,67.28142,89.48952,60.32677,84.11098,108.1257,56.2092,77.34398,104.00096,52.88624,72.17905,99.08225
12.66666667,57.52119,100.18674,141.00496,52.91166,95.22153,130.21394,47.37508,90.34604,119.33578,55.56477,97.55362,135.9348,45.30922,82.17684,112.24855,36.85601,68.27249,93.81483,57.391,100.37418,134.0094,50.6056,89.3624,118.67151,46.28309,80.59475,104.70132,51.19257,100.29332,143.41722,45.34309,88.86266,129.27199,40.96583,76.95386,113.88617,57.20249,104.17375,143.03331,52.59434,93.86453,128.80175,47.75446,84.0043,114.66697,59.17998,108.98116,144.16534,54.55035,96.9196,130.82162,49.21406,80.85888,111.38273,71.74011,80.60415,89.24275,62.7964,67.86472,74.95675,48.95537,52.58096,57.06888,56.3844,66.2592,80.913,48.56952,55.20717,65.58241,36.4931,41.28127,47.5082,57.74217,75.54733,96.18004,52.61368,70.04704,90.54042,48.04679,64.60159,84.5374,56.6476,87.9502,106.33882,51.95947,80.1163,96.20046,46.50403,73.90779,90.61082,55.95372,79.15279,100.56859,51.03157,72.68801,94.45428,45.62868,67.91468,89.92734,61.08457,84.28261,108.6952,56.93713,77.68169,104.45505,53.45645,72.64667,99.56022
13.33333333,57.52119,100.18674,141.00496,52.9892,95.22153,130.21394,47.37508,90.34604,119.69604,55.77174,97.55362,137.47191,45.73096,82.43561,114.24228,37.38181,68.68474,95.37714,57.391,100.9952,136.36034,50.6056,89.93926,120.75891,46.28309,81.17882,106.54685,51.52912,100.58152,144.42828,45.61227,89.271,130.16586,41.1742,77.00998,114.47655,57.29323,104.62836,144.71431,52.72893,94.35713,130.29238,47.85864,84.3244,116.0517,59.30607,108.90042,145.78138,55.23834,97.37433,132.22357,49.38917,81.55094,113.06992,71.74011,80.60415,89.24275,62.98777,67.86472,74.95675,49.10455,52.58977,57.06888,57.224,66.99647,81.886,49.29275,55.82146,66.37106,37.0365,41.74061,48.082,58.47036,75.8934,96.565,53.25616,70.42049,90.91332,48.63351,64.94415,84.91689,57.465,88.139,106.83003,52.62199,80.34426,96.76606,47.13885,74.3187,91.09362,56.62713,79.59699,100.97688,51.57552,73.3152,94.93685,46.06847,68.54682,90.35186,61.84237,84.45424,109.2647,57.6643,78.01917,104.90907,54.02585,73.1127,100.03772
14,57.52119,100.18674,141.00496,53.03315,95.22153,130.21394,47.37508,90.34604,119.69787,55.77174,97.55362,138.8076,46.02394,82.75473,115.41556,37.83176,69.19314,96.4,57.391,101.00702,137.9516,50.6056,90.11099,122.34111,46.28309,81.17882,108.06362,51.86787,100.86971,145.29421,45.88148,89.37469,130.86932,41.3826,77.06623,115.10963,57.46415,104.77836,145.94291,52.86354,94.49484,131.43522,47.96284,84.35253,117.12663,59.43221,109.6177,147.41792,55.02847,97.96814,133.50506,49.5653,81.9968,114.22816,71.74011,80.60415,89.24275,63.13452,67.86472,74.95675,49.21896,52.59856,57.06888,58.0636,67.7837,82.5278,50.01599,56.47738,66.89126,37.57991,42.23107,48.6558,59.10446,76.16566,96.949,53.89896,70.79386,91.2856,49.22051,65.2858,85.2946,58.2824,88.3278,107.3206,53.30238,80.57692,97.3187,47.78012,74.74984,91.56447,57.30054,80.03702,101.38517,52.11948,73.94226,95.42013,46.50825,69.17884,90.77786,62.60018,84.62587,109.83421,58.39277,78.35703,105.36321,54.59663,73.58144,100.51602
14.66666667,57.52119,100.18674,141.00496,53.07711,95.22153,130.21394,47.37508,90.34604,119.69787,55.77174,97.55362,140.13946,46.31691,83.05046,116.58623,38.28171,69.66427,97.42114,57.391,101.00702,139.5412,50.6056,90.27488,123.92222,46.28309,81.17882,109.57967,52.20368,101.1579,146.16356,46.15096,89.87838,131.57149,41.5912,77.1225,115.72518,57.63205,104.92246,147.17238,52.99828,94.82863,132.57686,48.06714,84.38066,118.19242,59.55873,109.23575,148.21585,55.04846,98.19396,134.42404,49.75292,82.33321,115.02049,71.74011,80.60415,89.24275,63.25722,67.86472,74.95675,49.31461,52.60738,57.06888,58.9032,68.53652,83.1706,50.73922,57.10463,67.41227,38.12332,42.7001,49.23145,59.73012,76.73006,97.333,54.54222,71.16727,91.6582,49.80793,65.6286,85.6732,59.0998,88.5166,107.81218,53.95756,80.77113,97.85125,48.4154,75.12977,91.99745,57.97395,80.47704,101.79346,52.66344,74.56939,95.90339,46.94804,69.81093,91.20377,63.35798,84.7975,110.40371,59.13581,78.69923,105.81868,55.18311,74.08075,101.00342
15.33333333,57.52119,100.18674,141.00496,53.12106,95.22153,130.21394,47.37508,90.34604,119.69787,55.77174,97.55362,141.418,46.60989,83.26917,117.72049,38.73166,70.0127,98.41834,57.391,101.00702,140.9568,50.6056,90.43876,125.38761,46.28309,81.17882,111.02043,52.53957,101.4461,147.0329,46.42043,89.98198,132.27216,41.7998,77.17868,116.33583,57.8,105.06656,148.31485,53.13301,94.96237,133.65989,48.17144,84.40875,119.21813,59.68496,109.93912,149.79938,55.22712,98.78155,136.1333,49.92856,82.77814,115.808,71.74011,80.60415,89.24275,63.40961,67.86472,74.95675,49.43341,52.6162,57.06888,59.7428,69.36261,83.8134,51.46245,57.79293,67.93328,38.66672,43.21478,49.61194,60.38782,77.18642,97.717,55.18547,71.54142,92.0308,50.39535,65.9714,86.0518,59.9172,88.6582,108.30103,54.61318,80.93536,98.37498,49.05078,75.49159,92.41988,58.64736,80.91707,102.20175,53.2074,75.19774,96.38705,47.38782,70.44424,91.63,64.11578,84.96914,110.97322,59.86366,79.03691,106.27276,55.75323,74.5482,101.48134
16,57.52119,100.18674,141.00496,53.16501,95.22153,130.21394,47.37508,90.34604,119.69787,55.77174,97.55362,142.204,46.90286,83.53963,118.51839,39.18161,70.44357,99.19439,57.391,101.00702,141.8684,50.6056,90.60264,126.45122,46.28309,81.17882,112.13779,52.87645,101.73429,147.90224,46.6899,90.08617,132.96783,42.0084,77.23482,116.9288,57.96844,105.21065,149.20532,53.26775,95.09641,134.53953,48.27574,84.43682,120.07329,59.81118,110.64249,151.25443,55.40776,99.36914,137.61278,50.10476,83.22308,116.598,71.74011,80.60415,89.24275,63.46195,67.86472,74.95675,49.47422,52.62502,57.06888,60.5824,70.09373,84.4562,52.18568,58.4021,68.45428,39.21013,43.67029,49.99244,61.11552,77.50255,98.101,55.82872,71.9144,92.4034,50.98277,66.3142,86.4304,60.7346,88.6582,108.79271,55.2606,80.99971,98.86938,49.68414,75.78265,92.80414,59.32076,81.3571,102.61004,53.75135,75.82415,96.87007,47.8276,71.0756,92.05572,64.87358,85.2528,111.54272,60.59221,79.44146,106.7474,56.3241,75.01712,101.9597
16.66666667,57.52119,100.18674,141.00496,53.20897,95.22153,130.21394,47.37508,90.34604,119.69787,55.77174,97.55362,142.99,47.19584,83.7906,119.31629,39.63156,70.8434,99.97043,57.391,101.00702,142.78,50.6056,90.76652,127.37202,46.28309,81.17882,113.02945,53.21482,102.02249,148.77449,46.95938,90.7897,133.66804,42.217,77.29108,117.52719,58.13762,105.35475,150.09724,53.40249,95.53011,135.35003,48.38004,84.46495,120.81832,59.93723,111.3503,152.71721,55.40776,99.9601,139.03617,50.28096,83.67072,117.354,71.74011,80.60415,89.24275,63.49431,67.86472,74.95675,49.49945,52.63384,57.06888,61.422,70.80706,85.099,52.90891,58.99645,68.97529,39.75353,44.11471,50.37293,61.95821,77.87392,98.485,56.47198,72.288,92.776,51.57019,66.657,86.809,61.552,88.6582,109.28171,55.90802,81.06741,99.36781,50.3175,76.07579,93.19444,59.99417,81.79713,103.01833,54.29531,76.45159,97.35343,48.26739,71.708,92.48172,65.63139,85.66131,112.11222,61.32076,79.92029,107.24489,56.89498,75.48604,102.43806
17.33333333,57.52119,100.18674,141.00496,53.25292,95.22153,130.21394,47.37508,90.34604,119.69787,55.77174,97.55362,143.776,47.48881,83.89645,120.11419,40.08151,71.01204,100.74648,57.391,101.00702,143.6916,50.6056,90.9304,128.32347,46.28309,81.17882,113.96955,53.55063,102.02267,149.18413,47.22747,90.89278,133.75142,42.4256,77.34719,117.70226,58.30552,105.35485,150.75786,53.53653,95.66359,135.86745,48.48434,84.49301,121.37591,60.06333,111.3503,152.94958,55.40776,100.01473,139.54916,50.28309,83.68711,117.8116,71.74011,80.60415,89.24275,63.52668,67.86472,74.95675,49.52468,52.64266,57.06888,62.2616,71.54918,85.7418,53.63214,59.61478,69.4963,40.29694,44.57707,50.75343,62.70843,78.13227,98.869,57.11523,72.6616,93.1486,52.15761,66.9998,87.1876,62.3694,88.6582,109.77397,56.56538,81.13479,99.85642,50.95331,76.37943,93.5723,60.66758,82.23716,103.42662,54.83927,77.07903,97.83679,48.70717,72.3404,92.90771,66.38919,85.9455,112.68173,62.04931,80.32515,107.71963,57.46586,75.95496,102.91642
18,57.52119,100.18674,141.00496,53.29687,95.22153,130.21394,47.37508,90.34604,119.69787,55.77174,97.55362,144.562,47.78179,84.07289,120.91209,40.53146,71.29312,101.52253,57.391,101.00702,144.6032,50.6056,91.09428,129.25964,46.28309,81.17882,114.88551,53.82382,102.02267,149.59377,47.44739,91.2962,133.8348,42.6342,77.40341,117.8773,58.44212,105.35485,151.41848,53.64649,95.94724,136.37722,48.58864,84.52111,121.9214,60.18941,111.3503,153.18195,55.40776,100.06936,140.05553,50.28309,83.7035,118.2682,71.74011,80.60415,89.24275,63.55904,67.86472,74.95675,49.54991,52.65148,57.06888,63.1012,72.27032,86.3846,54.35537,60.21563,70.01731,40.84034,45.02636,51.13392,63.66317,78.26055,99.253,57.75849,73.0352,93.5212,52.74503,67.3426,87.5662,63.1868,88.6582,110.26352,57.22263,81.20205,100.345,51.5891,76.68288,93.95008,61.34099,82.67718,103.83491,55.38323,77.70647,98.32015,49.14695,72.9728,93.33371,67.14699,86.08661,113.25123,62.77786,80.64488,108.16819,58.03674,76.42388,103.39478
18.66666667,57.52119,100.18674,141.00496,53.34083,95.22153,130.21394,47.37508,90.34604,119.69787,55.77174,97.55362,145.134,48.07476,84.21403,121.70999,40.98142,71.51798,102.29858,57.391,101.00702,145.5148,50.6056,91.25816,130.19609,46.28309,81.17882,115.80191,54.09629,102.02267,150.00341,47.66731,91.4998,133.91818,42.8428,77.45963,118.05234,58.57836,105.35485,152.0791,53.75645,96.13098,136.88714,48.69294,84.54923,122.46712,60.31573,111.3503,153.41431,55.40776,100.12398,140.56202,50.28309,83.71988,118.7248,71.74011,80.60415,89.24275,63.57177,67.86472,74.95675,49.55983,52.6603,57.06888,63.9408,72.99326,87.0274,55.07861,60.81798,70.53832,41.38375,45.47677,51.51442,64.34266,78.4232,99.637,58.40174,73.4088,93.8938,53.33245,67.6854,87.9448,64.0042,88.6582,110.7522,57.87988,81.26931,100.83359,52.2249,76.98633,94.32786,62.0144,83.11721,104.2432,55.92718,78.33391,98.80351,49.58674,73.6052,93.7597,67.9048,86.26552,113.82074,63.50642,80.9871,108.62367,58.60762,76.8928,103.87314
19.33333333,57.52119,100.18674,141.00496,53.38478,95.22153,130.21394,47.37508,90.34604,119.69787,55.77174,97.55362,145.134,48.36773,84.35517,122.50789,41.43137,71.74284,103.07462,57.391,101.00702,146.4264,50.6056,91.42204,131.13255,46.28309,81.17882,116.71831,54.36876,102.02267,150.41305,47.88723,91.9034,134.00156,43.0514,77.51586,118.22738,58.71459,105.35485,152.73972,53.86641,96.41472,137.39705,48.79724,84.57734,123.01284,60.4421,111.3503,153.64668,55.40776,100.17861,141.06851,50.28309,83.73627,119.1814,71.74011,80.60415,89.24275,63.57177,67.86472,74.95675,49.55983,52.66912,57.06888,64.7804,73.81924,87.6702,55.80184,61.50619,71.05933,41.92716,45.99138,51.89491,65.02751,78.69442,100.021,59.04499,73.7824,94.2664,53.91987,68.0282,88.3234,64.8216,88.6582,111.2426,58.53713,81.33657,101.32217,52.86069,77.28978,94.70565,62.6878,83.55724,104.65149,56.47114,78.96135,99.28687,50.02652,74.2376,94.1857,68.6626,86.56387,114.39024,64.23497,81.40039,109.101,59.1785,77.36173,104.3515
20,57.52119,100.18674,141.00496,53.43075,95.22153,130.21394,47.37508,90.34604,119.69787,55.77174,97.55362,145.92,48.66071,84.49632,123.30409,41.88132,71.9677,103.84792,57.391,101.00702,147.34397,50.6056,91.58719,132.07297,46.28309,81.17882,117.63729,54.64122,102.02267,150.82269,48.10787,92.107,134.08494,43.26245,77.57357,118.40243,58.85082,105.35485,153.40333,53.97673,96.5991,137.90895,48.90277,84.60619,123.55986,60.57102,111.3503,153.88057,55.40776,100.23366,141.57737,50.28309,83.75279,119.637,71.74011,80.60415,89.24275,63.57177,67.86472,74.95675,49.55983,52.67794,57.06888,65.62028,74.63474,88.313,56.52531,62.18567,71.58034,42.47074,46.49946,52.27541,65.7055,79.04502,100.405,59.68684,74.11261,94.64175,54.50601,68.3689,88.70204,65.639,88.6582,112.042,59.19465,81.40383,101.81075,53.49677,77.59332,95.08345,63.36121,83.99727,105.05978,57.0151,79.58566,99.7692,50.4663,74.86976,94.61087,69.4204,86.94952,114.95974,64.91027,81.85394,109.59071,59.69636,77.71715,104.79609
